Annual_Revenue,Loan_Amount,GST_Billing,Repayment_History,Credit_Score,Credit_Utilization_Ratio,Credit_Age
16594478,3452747,92,1,604,39.963209507789,15
13815092,735979,78,1,518,86.05714451279329,12
2734489,590333,94,0,382,68.5595153449124,30
15086186,1425780,77,1,687,57.89267873576293,16
10128519,2939980,96,0,603,22.48149123539492,24
11026850,961162,83,0,630,22.479561626896214,19
7904852,1214628,97,0,537,14.646688973455957,8
5481505,391036,95,0,464,79.29409166199481,21
14453367,4324715,94,0,733,58.0892009394567,17
19044107,3343169,87,0,871,66.64580622368364,23
5021373,998481,91,0,450,11.646759543664196,5
6519877,435326,89,0,495,87.59278817295954,22
3844769,913094,99,0,415,76.59541126403374,16
9680351,992007,89,0,590,26.987128854262092,6
603355,165629,90,0,318,24.54599737656805,8
16464436,1667598,81,0,793,24.672360788274705,25
1762752,172171,88,1,300,34.33937943676302,18
10284633,608206,83,0,608,51.98051453057903,25
6164789,1035787,86,1,365,44.55560149136926,12
10195979,1949576,93,0,605,33.298331215843355,15
9805648,651361,90,0,594,58.94823157779036,27
6243066,1522570,72,0,487,21.15950885216335,26
11142490,1819816,95,0,634,33.37157188281745,9
6613790,1197741,99,0,498,39.308947463495336,13
13737723,2200655,92,1,653,46.48559873736288,26
13148637,1974803,76,0,694,72.81407691144109,15
17361870,3297194,86,1,753,25.973902572668777,10
5647581,501562,81,1,332,51.13875507308893,16
19231570,1836269,78,1,702,57.3931655089634,7
2928388,777330,84,1,300,13.716033017599818,17
3163046,906303,87,0,394,58.603588152115066,23
11459014,1642389,90,0,643,23.64192989498332,26
15846051,1864861,82,0,775,15.204127438822361,21
3885357,819809,99,0,416,85.91084298026666,22
16433681,2500935,90,0,793,87.25056264596475,26
11684121,658360,99,1,469,74.67178784931689,7
1965689,175021,77,0,358,34.36910153386965,14
17345364,3971967,83,0,820,17.81376912051071,15
19102881,4101980,77,0,873,64.73864212097254,21
11892366,675177,83,0,656,45.21219949916811,7
15858907,1673004,76,0,775,19.763058787582306,9
3169995,341626,92,1,300,49.614152808901615,19
13339420,2907635,81,0,700,12.751081689217472,16
13979854,767880,80,0,719,82.74563216630257,8
6897986,524434,91,0,506,30.702398528001353,18
13687277,3421532,91,0,710,63.00178274831856,27
2370928,224375,80,0,371,34.93688608715288,23
4655299,992447,94,0,439,51.605441694224865,29
11446097,1253870,91,0,643,53.73682234746237,18
14591261,1092306,97,0,737,24.788356442042165,30
19582629,2169619,98,0,887,87.56677022116469,20
771836,177959,82,0,323,72.01062586888916,7
4084702,1078051,87,0,422,85.15991532513513,3
7781369,2004130,71,0,533,81.5861880342119,18
19576651,2922713,98,0,887,57.83199830488681,27
9085377,1971720,90,1,515,83.74993880184934,10
19935721,2018413,84,0,898,17.07940016415356,7
18548957,2286844,89,0,856,25.678628993531618,17
18324013,5022317,96,0,849,13.618183112843045,14
3547262,188893,87,0,406,36.02642646106115,24
11473639,818955,100,0,644,41.09418317515856,3
1064685,108567,84,0,331,31.70792254191167,12
3379190,191373,88,1,310,76.29900073215435,28
1507293,143733,92,0,345,38.540266135487144,13
3866612,756929,93,0,415,32.47476077499046,2
3204238,497798,81,0,396,53.41568665265988,3
3130708,855209,82,0,393,21.27393799798101,5
3994679,1016090,91,0,419,74.17575846032318,11
19044856,2579708,80,0,871,15.964051494381666,8
16106139,1849884,74,1,661,88.95095492804138,26
11502348,1666955,98,0,645,71.77958154373259,23
1785160,352700,70,0,353,25.897254522733792,23
5673036,663835,93,1,365,10.441769369888192,12
18702688,3853449,72,0,861,75.23691427638673,7
548984,83639,100,1,300,66.54858750780937,15
11288678,2122404,91,0,638,68.32057344327899,24
7056168,1122153,88,1,422,71.70162773487566,17
18781600,2321714,92,0,863,15.923572138727229,4
15116555,4340164,98,1,619,38.67725828354181,29
19508135,4699537,99,1,747,19.269524762010377,22
13219242,1124009,76,0,696,79.04827407004748,25
